y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
3.65,2,1.0,1230,6600,1.0,A0,3.0,7.0,100,1260,109.0,-1
4.85,4,1.75,1740,8800,1.0,A0,4.0,8.0,0,2180,50.0,-1
3.6,2,1.0,1120,88327,1.5,A0,4.0,6.0,0,1640,43.0,-1
8.66,4,1.75,2320,3825,1.5,A0,5.0,,500,1940,89.0,-1
4.95,2,1.0,1100,6240,1.0,A0,4.0,7.0,0,1250,74.0,-1
3.15,4,2.5,1940,3864,2.0,A0,,,0,1900,12.0,-1
2.6,3,2.25,1870,5876,2.0,A0,3.0,,0,1670,29.0,-1
2.1,3,1.0,1090,8640,1.0,A0,4.0,6.0,0,1260,42.0,-1
5.805,4,2.75,2380,15800,1.0,A0,3.0,8.0,700,1950,58.0,14
9.2295,4,3.5,4270,117176,2.0,A0,3.0,9.0,0,2610,7.0,-1
4.57,3,2.25,1910,35015,1.0,A0,4.0,,480,2340,38.0,-1
17.25,4,3.5,4460,16953,1.0,A0,3.0,9.0,1910,1980,53.0,21
23.2,4,3.25,3800,19798,2.0,A0,3.0,10.0,0,3940,46.0,6
1.775,2,1.5,1280,8710,1.0,A0,3.0,7.0,0,1520,48.0,-1
15.25,3,2.5,3160,12824,1.0,A0,4.0,9.0,1340,3390,49.0,-1
3.35,2,2.25,1660,2128,2.0,A0,4.0,8.0,0,1640,41.0,-1
3.05,4,1.0,1200,2171,1.5,A0,3.0,7.0,0,1130,82.0,-1
4.845,3,2.25,2150,9250,2.0,A0,3.0,8.0,0,2240,31.0,-1
3.86,3,1.75,1420,5170,1.0,A0,4.0,7.0,0,2250,52.0,-1
2.715,3,3.25,1570,2048,2.0,A0,3.0,8.0,280,1570,9.0,-1
1.545,3,1.0,1230,6000,1.0,A0,4.0,7.0,0,1240,48.0,-1
8.15,4,1.0,2550,4000,2.0,A0,,8.0,180,2200,110.0,-1
5.09,3,2.5,1480,1485,2.0,A0,3.0,8.0,200,1470,8.0,-1
2.3,3,2.0,1830,10873,1.0,A0,3.0,8.0,0,2490,26.0,-1
8.32687,4,2.5,3560,6786,2.0,A0,3.0,9.0,630,3560,1.0,-1
3.3,5,3.5,3672,9742,2.0,A0,3.0,9.0,666,2140,9.0,-1
1.85,3,2.5,1920,7415,2.0,A0,3.0,7.0,0,1930,26.0,-1
4.712,3,2.5,2678,6607,2.0,A0,3.0,,0,2780,17.0,-1
4.75,4,1.75,2030,5688,2.0,A0,4.0,9.0,300,2320,76.0,-1
5.5,5,1.0,3240,5324,2.0,A0,3.0,9.0,0,3240,8.0,-1
4.12,3,1.75,1430,12632,1.0,A0,,7.0,0,1750,56.0,-1
4.761,3,1.0,1430,8640,1.0,A0,5.0,7.0,0,1430,61.0,-1
14.9,4,2.75,2810,8570,2.0,A0,3.0,10.0,0,2810,22.0,-1
1.34,3,1.0,920,5200,1.0,A0,4.0,6.0,0,920,46.0,-1
2.05,2,1.0,880,5750,1.0,A0,3.0,6.0,0,1190,76.0,-1
4.49,3,2.25,2140,6720,1.0,A0,3.0,8.0,700,2060,54.0,-1
3.655,3,2.5,2460,4399,2.0,A0,3.0,7.0,0,2060,8.0,-1
3.5,3,2.5,2320,2267,3.0,A0,3.0,8.0,0,1240,6.0,-1
18.75,3,2.5,2510,12779,1.5,A0,3.0,10.0,0,2810,47.0,-1
1.6,2,2.25,1660,2748,2.0,A0,3.0,7.0,0,1620,20.0,-1
2.75,4,2.25,1570,499571,1.0,A0,4.0,7.0,0,1700,43.0,-1
10.5,6,3.0,2880,3192,2.0,A0,4.0,8.0,700,1870,96.0,-1
3.03,2,2.0,1300,3850,1.0,A0,3.0,7.0,500,950,52.0,-1
1.0495,3,1.0,1130,9907,1.0,A0,3.0,7.0,0,1320,61.0,-1
2.7495,3,2.0,1640,4714,1.0,A0,3.0,8.0,0,1770,6.0,-1
1.222,3,1.0,1140,8775,1.0,A0,3.0,6.0,150,1300,73.0,-1
3.3,4,2.5,2220,4652,2.0,A0,3.0,,0,1840,14.0,-1
8.27,3,2.75,3240,7200,1.0,A0,3.0,8.0,1620,2700,55.0,-1
3.15,3,1.75,1260,6500,1.0,A0,4.0,7.0,0,1500,49.0,-1
8.241,5,2.5,2410,15300,1.0,A0,4.0,8.0,1010,2440,40.0,-1
8.6799,4,2.5,3570,6218,2.0,A0,3.0,9.0,0,3230,1.0,-1
7.74,3,3.0,2960,42159,2.0,A0,3.0,10.0,0,2640,20.0,-1
3.03,4,2.5,1890,12236,1.0,A0,3.0,7.0,660,1390,37.0,-1
2.35,1,0.75,520,2885,1.0,A0,4.0,6.0,0,980,68.0,-1
2.16,3,1.75,1560,9788,1.0,A0,3.0,7.0,0,1840,51.0,-1
6.84,4,1.75,2100,4750,1.0,A0,3.0,7.0,760,1700,40.0,-1
4.15,3,1.0,920,4800,1.0,A0,4.0,,140,1370,89.0,-1
1.73,4,2.5,1770,5855,2.0,A0,3.0,7.0,0,1790,12.0,-1
2.0,3,1.75,1860,15681,1.0,A0,4.0,7.0,0,1860,44.0,-1
3.45,3,2.25,1800,9800,1.0,A0,4.0,7.0,500,1680,56.0,-1
2.84999,5,3.0,2680,9624,2.0,A0,3.0,7.0,810,1860,20.0,-1
2.4495,2,2.5,1280,819,2.0,A0,3.0,8.0,220,1290,9.0,-1
4.4,2,1.75,1930,5570,1.0,A0,3.0,,0,1810,10.0,-1
2.63,2,1.0,1470,5566,1.0,A0,4.0,7.0,700,1410,96.0,-1
2.24,2,1.0,1070,189486,1.0,A0,3.0,6.0,0,1970,73.0,-1
2.8,4,2.5,2150,3600,2.0,A0,3.0,7.0,0,2220,5.0,-1
4.96,4,2.25,2290,9900,1.0,A0,4.0,8.0,740,2320,56.0,-1
7.45875,5,3.25,3860,9387,2.0,A0,3.0,,0,3860,9.0,-1
6.249,4,2.75,2810,7302,2.0,A0,3.0,9.0,0,2820,13.0,-1
3.27,3,1.5,1450,7375,1.0,A0,3.0,7.0,440,1350,47.0,-1
7.5,4,1.0,2290,6300,1.5,A0,4.0,,140,2390,94.0,-1
3.785,4,1.75,2000,6032,1.0,A0,3.0,7.0,700,1930,56.0,-1
15.75,4,2.25,2920,20400,1.0,A0,4.0,11.0,0,3080,49.0,-1
11.75,3,2.5,2070,4944,2.0,A0,3.0,9.0,0,3300,85.0,-1
1.55,3,1.0,1060,10228,1.0,A0,3.0,7.0,0,1570,67.0,-1
3.59,3,2.25,1750,9353,1.0,A0,3.0,7.0,540,1930,28.0,-1
5.05,3,1.75,2100,6874,1.0,A0,3.0,7.0,800,2220,72.0,-1
4.9,4,1.5,2190,8296,2.0,A0,3.0,7.0,0,1160,80.0,52
3.05,2,2.0,1120,780,2.0,A0,3.0,8.0,360,1120,11.0,-1
6.149,4,3.25,2740,7266,2.0,A0,3.0,9.0,680,3030,12.0,-1
1.27,1,1.0,590,833,1.0,A0,4.0,7.0,0,780,89.0,-1
4.8,4,2.25,1720,2300,1.0,A0,3.0,7.0,860,1720,75.0,1
2.65,3,1.0,1250,4800,1.0,A0,4.0,7.0,0,1404,64.0,-1
3.23,2,2.0,1300,3865,1.0,A0,3.0,8.0,0,1350,9.0,-1
3.865,5,3.25,2820,3275,2.0,A0,3.0,,590,2610,9.0,-1
4.98,4,2.25,2150,9520,2.0,A0,4.0,,0,2000,36.0,-1
2.97,3,1.0,2298,10140,1.0,A0,3.0,7.0,0,2580,46.0,-1
11.85,4,2.0,2970,5400,2.5,A0,4.0,,0,2500,115.0,-1
3.5,2,1.0,620,4455,1.0,A0,3.0,6.0,0,1180,88.0,-1
0.78,3,1.0,1200,10500,1.0,A0,3.0,7.0,0,1350,53.0,-1
5.7495,4,3.5,2440,3012,3.0,A0,3.0,8.0,0,1860,10.0,-1
6.25,3,2.5,2230,4006,2.0,A0,3.0,8.0,0,2230,1.0,-1
6.25,4,2.5,2310,3570,1.5,A0,3.0,7.0,820,1580,88.0,1
3.0,3,2.0,1450,7300,1.5,A0,5.0,7.0,0,1660,60.0,-1
3.01,4,2.75,2420,5773,2.0,A0,3.0,8.0,0,2420,10.0,-1
5.51,4,1.75,1350,9293,1.0,A0,4.0,7.0,0,1890,61.0,-1
8.0,4,2.25,2380,4876,2.0,A0,4.0,9.0,140,1780,67.0,-1
4.9,4,1.75,2140,7102,1.0,A0,4.0,7.0,1070,1950,67.0,-1
12.345,4,4.5,4750,13912,2.0,A0,3.0,10.0,1150,3600,10.0,-1
3.43,3,1.75,1670,12075,1.0,A0,3.0,7.0,300,1800,57.0,-1
6.025,5,1.0,2340,4730,2.0,A0,3.0,8.0,530,2100,97.0,-1
3.24,3,1.75,1170,8148,1.0,A0,3.0,7.0,0,1200,63.0,-1
10.75,4,3.25,4400,262666,2.0,A0,3.0,11.0,0,3240,27.0,-1
3.77,3,2.75,2300,5090,2.0,A0,3.0,,600,1530,8.0,-1
5.55,5,3.5,4060,8309,2.0,A0,3.0,9.0,1100,1730,14.0,-1
6.1,4,2.5,3550,10968,2.0,A0,3.0,9.0,0,3550,9.0,-1
3.4,4,1.5,1540,7886,2.0,A0,3.0,7.0,0,1550,48.0,-1
2.0,4,1.5,1930,15531,2.0,A0,3.0,7.0,0,1580,36.0,-1
26.45,4,3.25,3990,18115,2.0,A0,4.0,11.0,0,3450,26.0,-1
3.8,4,2.5,2090,4400,2.0,A0,3.0,8.0,0,2090,4.0,-1
1.035,3,1.0,900,10511,1.0,A0,4.0,6.0,0,1460,54.0,-1
2.3,4,2.25,1763,3717,2.0,A0,3.0,8.0,0,1763,3.0,-1
6.65,3,2.5,2710,18480,2.0,A0,3.0,10.0,710,2710,37.0,-1
4.25,3,1.0,1440,54315,1.0,A0,3.0,7.0,650,2690,41.0,-1
1.93,3,2.5,1650,6684,2.0,A0,3.0,7.0,0,1850,24.0,-1
9.4,4,2.5,2700,4590,2.0,A0,3.0,8.0,0,2080,13.0,-1
1.4,4,2.5,2130,4496,2.0,unknown,3.0,7.0,0,3220,11.0,-1
6.05,4,2.75,3310,50951,2.0,A0,,9.0,0,3230,17.0,-1
2.3,4,1.75,1000,7200,1.5,A0,4.0,6.0,0,1280,68.0,-1
8.35,4,3.5,3570,27699,2.0,A0,3.0,11.0,0,3800,25.0,-1
5.25,3,2.5,2320,7609,2.0,A0,3.0,8.0,0,2590,12.0,-1
4.05,3,2.25,1680,9090,1.0,A0,4.0,,550,1960,56.0,-1
1.7495,2,1.0,940,8532,1.0,A0,4.0,7.0,0,1050,56.0,-1
3.214,4,2.5,2120,215186,2.0,A0,,7.0,0,2000,32.0,-1
9.3,4,4.5,4225,284011,2.0,A0,4.0,11.0,0,2870,30.0,-1
17.1,4,3.5,5490,14300,1.0,A0,3.0,12.0,2580,4290,19.0,-1
14.25,3,3.25,3990,8505,2.0,A0,3.0,,1120,3640,93.0,16
1.215,3,1.0,1320,9000,1.0,A0,3.0,7.0,0,1320,49.0,-1
4.04,3,1.75,1470,6018,1.0,A0,,8.0,0,1720,28.0,-1
2.25,3,3.25,1470,1235,2.0,A0,3.0,,290,1470,7.0,-1
8.3,4,3.5,2970,14486,2.0,A0,3.0,9.0,630,3680,18.0,-1
23.25,3,2.25,3000,11665,1.5,A1,3.0,11.0,0,3000,14.0,-1
5.435,3,2.0,1800,5000,1.0,A0,4.0,7.0,720,1800,73.0,-1
3.41,3,2.5,1800,5372,2.0,A0,3.0,8.0,0,1650,28.0,-1
2.15,4,2.5,1700,7280,2.0,A0,4.0,7.0,0,1950,27.0,-1
4.92,3,2.5,2540,6093,2.0,A0,3.0,9.0,0,2540,16.0,-1
1.57,3,1.75,1290,6604,1.0,A0,3.0,7.0,0,1440,31.0,-1
11.9389,5,3.25,4410,35192,2.0,A0,3.0,12.0,530,4410,25.0,-1
5.85,5,3.5,3160,5175,2.0,A0,3.0,,0,2100,1.0,-1
1.579,3,1.5,910,5120,1.0,A0,3.0,6.0,0,1410,42.0,-1
1.84,4,1.5,1260,7248,1.5,A0,5.0,,0,1300,60.0,-1
6.78888,4,2.5,2660,5500,2.0,A0,3.0,9.0,0,3620,12.0,-1
5.305,3,2.5,2830,6536,2.0,A0,3.0,9.0,0,2710,26.0,-1
5.05,3,1.75,1850,2797,1.0,A0,3.0,8.0,700,1450,38.0,-1
2.15,3,1.0,1210,33919,1.0,A0,3.0,7.0,0,1640,61.0,-1
2.25,3,1.75,1280,12776,1.0,A0,4.0,7.0,0,1680,38.0,-1
6.55,3,1.75,2040,11294,1.0,A0,4.0,7.0,700,2120,63.0,-1
9.0,5,4.0,4850,36450,2.0,A0,3.0,10.0,0,3850,38.0,-1
1.87,3,2.5,1680,10300,2.0,A0,4.0,7.0,0,1680,21.0,-1
4.015,3,1.0,1200,6120,1.0,A0,4.0,7.0,250,1550,70.0,-1
7.5,4,2.25,2430,10050,2.0,A0,4.0,8.0,0,2390,36.0,-1
17.95,5,4.0,4510,15175,2.0,A0,3.0,10.0,0,3510,46.0,13
3.45,2,1.75,1200,3136,1.0,A0,3.0,7.0,400,1330,111.0,10
2.94,3,1.75,1300,3844,1.0,A0,3.0,7.0,0,1290,30.0,-1
1.69,2,1.0,1180,10200,1.0,A0,4.0,7.0,0,1330,60.0,-1
3.5,4,2.5,3052,12145,2.0,A0,3.0,,0,2767,11.0,-1
0.955,2,1.0,1060,7700,1.0,A0,3.0,7.0,240,1370,34.0,-1
4.777,2,1.0,1100,2800,1.0,A0,3.0,7.0,0,1110,90.0,-1
5.0,5,2.5,3070,7200,2.0,A0,3.0,8.0,0,2590,10.0,-1
6.09,4,3.5,3040,8414,2.0,A0,3.0,9.0,620,3470,5.0,-1
4.25,3,3.25,1490,902,3.0,A0,,8.0,270,1550,14.0,-1
2.975,5,3.0,2480,10090,1.0,A0,3.0,7.0,1180,2290,11.0,-1
1.62,3,1.5,960,7400,1.0,A0,3.0,7.0,0,1640,53.0,-1
10.6,4,2.75,3370,8103,1.0,A0,3.0,9.0,1400,2120,45.0,1
2.95,4,3.0,2130,4838,1.5,A0,4.0,7.0,0,1070,85.0,-1
5.65,4,2.5,2320,11259,2.0,A0,3.0,9.0,0,2820,33.0,-1
2.6,3,1.75,2100,8298,1.0,A0,4.0,7.0,870,1700,63.0,-1
2.7295,5,2.25,1700,13500,1.5,A0,4.0,7.0,0,1810,53.0,-1
2.6,3,1.5,2240,87625,1.5,A0,2.0,,760,1920,35.0,-1
6.32,5,4.5,3540,21217,2.0,A0,4.0,8.0,600,1290,89.0,-1
3.7,5,3.0,3880,7180,2.0,A0,3.0,7.0,0,2160,11.0,-1
2.585,3,1.75,1320,7200,1.0,A0,4.0,7.0,0,1750,38.0,-1
6.05,3,2.25,1820,8316,1.0,A0,5.0,7.0,500,1780,55.0,-1
4.95,2,1.0,910,4301,1.0,A0,4.0,7.0,0,1810,92.0,-1
0.07,3,1.0,860,10426,1.0,A0,3.0,6.0,0,1140,61.0,-1
2.14,3,1.75,1690,3449,1.0,A0,3.0,7.0,0,1530,28.0,-1
7.476,4,2.5,3010,9600,1.0,A0,3.0,9.0,1500,2780,36.0,-1
8.9,4,3.5,3290,5559,1.5,A0,3.0,8.0,1000,1790,109.0,11
3.25,3,1.75,1590,8219,1.5,A0,5.0,6.0,620,2030,77.0,-1
1.995,3,2.25,1720,9000,1.0,A0,4.0,8.0,400,1930,46.0,-1
1.38,4,1.75,1980,9000,1.0,A0,2.0,7.0,500,1980,37.0,-1
2.5435,2,1.0,720,6687,1.0,A0,3.0,6.0,0,840,73.0,-1
3.0,5,2.5,2100,14858,1.0,A0,5.0,8.0,0,1980,45.0,-1
8.6,2,2.5,1680,977,3.0,A0,3.0,9.0,0,1680,6.0,-1
5.85,4,2.25,2010,15375,1.0,A0,4.0,8.0,0,1930,58.0,-1
5.45,4,2.25,2210,8101,2.0,A0,3.0,9.0,0,2330,30.0,-1
3.89,3,2.0,1630,6550,1.0,A0,5.0,7.0,780,1440,103.0,-1
3.03,4,1.0,1300,6075,1.0,A0,5.0,7.0,0,1450,61.0,-1
5.475,4,2.5,2980,8107,2.0,A0,3.0,,0,2750,15.0,-1
3.2825,2,1.5,1430,8137,1.0,A0,3.0,7.0,300,1430,81.0,-1
2.78,3,1.0,1350,7740,1.0,A0,4.0,6.0,490,1130,68.0,-1
2.4995,4,2.5,1770,5000,2.0,A0,3.0,7.0,0,2080,11.0,-1
4.0,3,2.5,1690,2890,2.0,A0,3.0,7.0,0,1690,11.0,-1
3.75,6,2.25,3550,11780,1.0,A0,4.0,8.0,590,2360,67.0,-1
5.5,2,1.75,1460,1500,2.0,A0,3.0,8.0,460,1440,7.0,-1
2.655,3,2.0,2270,28025,1.0,A0,,7.0,350,1770,68.0,-1
2.12,2,2.5,2410,7500,1.0,A0,3.0,7.0,860,1840,37.0,-1
3.65,3,1.75,1430,8400,1.0,A0,4.0,,0,1570,54.0,-1
3.67,3,1.5,2050,6384,1.0,A0,3.0,7.0,700,1590,57.0,-1
2.35,4,2.5,3140,22100,1.0,A0,4.0,,1320,2700,55.0,-1
1.95,3,1.75,1260,7500,1.0,A0,3.0,6.0,420,1340,68.0,-1
11.3,4,2.75,2470,5500,1.0,A0,3.0,9.0,900,1620,55.0,10
2.18,3,1.75,1420,13187,1.0,A0,4.0,,0,1620,41.0,-1
8.675,4,3.25,3570,14408,2.0,A0,3.0,10.0,0,4100,9.0,-1
2.415,3,2.5,1770,3873,2.0,A0,3.0,7.0,0,2280,10.0,-1
1.47,3,1.75,1240,7560,1.0,A0,3.0,8.0,170,1650,48.0,-1
6.61,4,2.5,2290,12047,2.0,A0,4.0,9.0,0,3130,27.0,-1
5.75,3,1.5,1630,7475,1.0,A0,,7.0,470,2320,75.0,-1
3.45,5,3.0,2630,3149,2.0,A0,3.0,8.0,960,2240,2.0,-1
3.4,4,2.5,2210,213008,1.0,A0,4.0,7.0,1000,2270,40.0,-1
1.31,3,1.0,1320,7000,1.0,A0,,7.0,0,1260,48.0,-1
3.785,2,1.5,1710,4189,1.0,A0,5.0,7.0,550,1530,64.0,-1
8.85,4,3.5,4610,11676,2.0,A0,3.0,10.0,0,3900,15.0,-1
4.85,3,2.0,2340,3477,1.0,A0,5.0,,1170,2110,44.0,-1
1.44,3,1.0,1250,8276,1.5,A0,5.0,,0,1250,76.0,-1
7.0835,4,2.5,3290,35001,2.0,A0,3.0,,0,4090,24.0,-1
4.85,2,2.0,1680,4647,1.0,A0,3.0,8.0,0,1680,7.0,-1
3.2,2,1.0,1200,6014,1.0,A0,4.0,6.0,600,1270,66.0,-1
2.55,4,1.75,1550,50094,1.0,A0,4.0,6.0,0,1720,48.0,-1
1.73,4,3.0,2163,5883,2.0,A0,3.0,7.0,0,1700,9.0,-1
4.375,3,2.5,1840,2875,2.0,A0,4.0,7.0,0,1240,18.0,-1
2.5,4,2.5,2090,7434,1.0,A0,3.0,7.0,1000,1260,22.0,-1
2.75,4,1.75,2250,13515,1.0,A0,4.0,8.0,100,2150,75.0,-1
3.55,3,2.5,2670,12806,2.0,A0,3.0,9.0,0,3010,5.0,-1
18.05,3,2.75,2620,17919,1.0,A0,4.0,9.0,0,3400,66.0,-1
8.1,3,3.25,2640,16090,1.0,A0,4.0,8.0,680,3690,39.0,-1
2.7,3,1.75,1380,10529,1.0,A0,3.0,,0,1670,48.0,-1
3.2,4,2.5,2250,6840,2.0,A0,3.0,9.0,0,2480,28.0,-1
13.9,3,1.5,2480,9900,2.0,A0,,10.0,350,2860,75.0,-1
5.15,4,1.5,2230,5109,1.5,A0,3.0,7.0,900,1630,97.0,-1
2.55,4,2.25,2430,7490,2.0,A0,3.0,8.0,0,2070,32.0,-1
5.8,3,2.0,1820,4480,1.0,A0,5.0,7.0,700,1920,92.0,-1
1.8,3,1.5,1240,8528,1.0,A0,4.0,7.0,0,1570,48.0,-1
2.2,4,1.75,1800,28650,1.0,A0,4.0,7.0,0,1800,40.0,-1
10.2703,5,2.5,3890,27311,2.0,A0,3.0,10.0,0,3160,65.0,25
11.75,5,3.25,3930,12719,2.0,A0,4.0,10.0,1390,3600,41.0,-1
1.3,4,1.0,1340,7920,1.0,A0,4.0,7.0,0,1090,45.0,-1
7.7499,4,2.75,3300,4987,2.0,A0,3.0,9.0,0,3520,1.0,-1
2.85,4,2.0,1850,8827,1.0,A0,3.0,7.0,0,1310,46.0,-1
1.749,3,2.5,1630,7700,1.0,A0,3.0,7.0,510,1640,37.0,-1
7.49,4,3.5,3650,57538,2.0,A0,3.0,10.0,0,3730,19.0,-1
4.32,4,2.25,1490,956,2.0,A0,3.0,7.0,470,1510,10.0,-1
7.2,4,2.5,3230,19193,1.0,A0,4.0,8.0,1230,3230,42.0,-1
0.95,3,1.5,1350,81549,1.0,A0,2.0,7.0,0,2220,49.0,-1
2.75,3,2.25,1580,47916,1.0,A0,3.0,,0,1980,36.0,-1
0.8355,5,1.5,1710,8100,1.5,A0,4.0,7.0,0,1480,54.0,-1
8.75,4,2.5,3670,7680,2.5,A0,3.0,10.0,0,3130,8.0,-1
1.849,4,2.75,1560,8820,1.0,A0,3.0,7.0,500,2140,36.0,-1
9.24,3,2.75,2830,505166,1.0,A1,4.0,8.0,1000,2120,53.0,-1
5.8,5,2.5,2560,46786,2.0,A0,3.0,8.0,0,2430,20.0,-1
8.25,3,1.0,1330,77972,1.0,A0,3.0,7.0,0,1340,87.0,61
1.925,3,2.25,1860,12000,1.0,A0,4.0,7.0,0,1815,39.0,-1
3.75,5,2.5,2510,10240,1.0,A0,4.0,8.0,1100,2170,31.0,-1
2.363,2,1.0,1000,7228,1.0,A0,4.0,7.0,0,1100,68.0,-1
1.985,4,2.75,1300,9638,1.0,A0,2.0,7.0,0,1670,32.0,-1
4.9,3,2.75,3210,15939,2.0,A0,3.0,10.0,0,2870,17.0,-1
7.37,4,2.0,2380,6122,1.0,A0,4.0,,1070,1810,66.0,-1
3.77,3,1.75,1110,9012,1.0,A0,4.0,7.0,0,1800,49.0,-1
2.615,3,1.0,1480,7284,1.0,A0,3.0,7.0,510,2020,52.0,-1
4.85,4,2.5,2940,6000,2.0,A0,3.0,8.0,0,2510,15.0,-1
1.875,3,1.5,1610,10291,1.0,A0,4.0,7.0,0,1410,54.0,-1
2.64,4,1.5,2390,7480,1.5,A0,,7.0,0,2850,95.0,-1
1.8,3,2.5,1610,6176,2.0,A0,3.0,7.0,0,1680,21.0,-1
3.05,4,1.75,1760,7300,1.0,A0,3.0,7.0,880,1680,59.0,-1
4.79,5,2.5,3440,12900,1.0,A0,4.0,8.0,1720,2100,57.0,-1
2.875,5,2.0,2330,8586,1.0,A0,4.0,7.0,1060,1550,54.0,-1
3.325,5,2.0,2740,8230,1.5,A0,3.0,7.0,530,2130,53.0,-1
4.85,3,2.5,2070,12708,2.0,A0,3.0,8.0,0,2620,19.0,-1
2.825,3,1.75,1630,9403,1.0,A0,3.0,7.0,0,1430,32.0,-1
4.13,4,2.25,2500,10890,1.0,A0,5.0,7.0,700,2500,37.0,-1
3.21,5,2.75,2840,12253,1.0,A0,3.0,7.0,1420,2210,55.0,-1
3.9,3,1.5,1270,5112,1.0,A0,3.0,7.0,0,1580,65.0,-1
4.9,4,2.25,2470,7447,2.0,A0,3.0,8.0,0,2270,31.0,-1
3.245,4,1.5,1660,6617,1.0,A0,5.0,7.0,0,950,68.0,-1
1.65,3,1.75,1260,7362,1.0,A0,3.0,7.0,0,1530,31.0,-1
6.05,3,1.75,1090,6775,1.0,A0,4.0,7.0,240,1580,65.0,-1
4.5,4,2.0,2680,14157,1.0,A0,3.0,8.0,1220,2100,49.0,-1
4.685,3,2.25,1270,2790,1.0,A0,3.0,7.0,280,1920,45.0,-1
5.95,4,3.0,2500,5000,1.5,A0,4.0,7.0,1040,1720,89.0,-1
2.77,4,1.75,1850,5712,1.0,A0,3.0,7.0,0,1510,61.0,-1
5.34,4,2.5,2150,37981,2.0,A0,3.0,9.0,0,2450,30.0,-1
2.925,4,2.25,1930,7925,1.0,A0,3.0,8.0,630,1930,55.0,-1
4.2416,4,2.5,2628,11466,2.0,A0,3.0,9.0,0,2849,1.0,-1
1.45,3,1.0,1090,6320,1.0,A0,3.0,6.0,200,1460,61.0,-1
3.05,3,2.5,1880,6047,2.0,A0,3.0,8.0,0,2120,22.0,-1
8.6,4,2.0,1220,7489,2.0,A0,3.0,7.0,0,1220,112.0,-1
1.45,2,1.0,780,6000,1.0,A0,5.0,6.0,0,1080,92.0,-1
4.872,3,1.5,1900,5250,1.0,A0,4.0,7.0,400,1810,72.0,-1
